정류소ID,정류소명,위도,경도,POI_대형마트,POI_편의점,POI_어린이집,POI_학교,POI_학원,POI_주차장,POI_주유소,POI_지하철역,POI_은행,POI_문화시설,POI_중개업소,POI_공공기관,POI_관광명소,POI_숙박,POI_음식점,POI_카페,POI_병원,POI_약국
220000007,10단지,37.4353,126.9965333,1,2,2,0,1,1,0,1,0,0,13,1,0,0,8,2,2,1
220000065,4.5.6단지.굴다리시장,37.42805,126.9967333,0,2,4,0,15,3,0,0,4,0,8,0,0,0,21,9,6,2
220000066,4단지삼호상가,37.4270167,126.9955167,0,4,4,0,33,8,0,0,7,0,16,0,0,0,99,20,20,4
220000101,6.7단지,37.4306,126.9996333,1,4,3,1,6,0,0,0,2,0,12,0,0,0,12,4,3,2
220000100,6.7단지.현대상가,37.4305833,126.99875,1,4,4,2,6,0,0,0,2,0,11,0,0,0,12,6,3,2
220000094,6.7단지.현대상가,37.4305,126.9994167,1,4,3,2,6,0,0,0,2,0,12,0,0,0,12,4,3,2
220000022,8.9단지,37.4355333,126.9967833,1,2,2,0,2,1,0,1,0,0,15,1,0,0,9,2,2,1
220000005,KT과천지사,37.4286833,126.9917167,1,6,0,0,87,27,1,1,20,5,16,6,0,1,237,47,50,12
220000117,KT과천지사,37.4293,126.9927667,0,6,1,0,87,21,1,0,16,0,16,5,0,1,223,44,38,10
220000024,KT과천지사,37.4286333,126.9923,1,6,0,0,87,26,1,0,20,4,16,6,0,1,237,47,50,12
220000083,가루개,37.4113833,126.98655,0,6,7,1,8,0,0,0,0,0,9,0,0,0,8,1,0,0
220000084,가루개,37.4114167,126.9864,0,6,7,1,8,0,0,0,0,0,14,0,0,0,9,1,0,0
220000090,가일,37.41645,126.97865,0,8,3,0,0,4,0,0,2,1,9,1,0,0,56,31,2,1
220000087,갈현2통사무소,37.41615,126.98395,0,1,4,0,2,4,0,0,0,2,8,0,0,0,14,3,0,0
220000029,갈현동부대,37.4110667,126.9800667,0,1,1,0,4,1,0,0,2,0,4,1,0,0,8,3,6,2
220000028,갈현동부대,37.4109667,126.9806833,0,0,1,0,6,1,0,0,2,0,7,1,0,0,5,1,5,2
220000023,경기도립과천도서관,37.43145,126.99475,0,1,2,2,1,0,0,1,3,0,17,2,0,0,7,6,0,0
220000006,경기도립과천도서관,37.4316,126.9944,0,1,2,2,1,0,0,1,3,0,17,2,0,0,7,6,0,0
277103311,경마IC(경유),37.448,127.00545,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0
