id,restaurant,cafe,supermarket,hospital,landmark
218000265,4,6,1,0,0
218000258,4,6,1,0,0
218001187,4,1,0,0,0
218001182,7,1,0,0,0
218000500,0,0,0,0,0
218000498,0,0,0,0,0
218000743,18,3,1,5,0
218001009,18,4,1,5,0
218000932,16,3,1,3,0
218001010,9,3,0,0,0
218000740,3,2,0,0,0
218000763,89,20,1,5,0
218001021,99,20,1,5,0
218000739,3,2,0,0,0
218000741,3,2,0,0,0
218001076,48,11,1,2,0
218000997,46,10,0,2,0
218000809,1,0,0,0,0
218000810,1,0,0,0,0
218001171,82,20,1,31,0
218001172,79,20,1,31,0
219000765,217,60,0,4,0
219000960,2,0,0,0,0
219000961,2,0,0,0,0
218001141,0,0,0,0,0
218001142,0,0,0,0,0
219000738,31,2,0,0,1
219000737,32,3,0,0,1
219001127,0,0,0,0,0
219001128,0,0,0,0,0
277102634,0,0,0,0,0
218000330,80,9,2,19,0
218000146,82,10,2,25,0
218000087,73,7,1,16,0
218001153,96,10,2,25,0
218001071,96,10,2,25,0
218000967,16,5,0,1,1
218000279,7,1,0,0,0
218000270,7,2,0,0,0
218000161,16,2,0,0,1
218000026,14,2,0,0,1
218001318,14,2,0,0,1
218001317,14,2,0,0,1
219001119,39,8,0,5,0
219001120,54,9,0,5,0
241501020,67,12,0,5,0
241500020,71,12,0,6,0
219000435,9,1,0,0,0
219000424,39,2,0,0,0
219001126,19,3,0,1,0
219001125,19,3,0,1,0
219001111,1,0,0,0,0
219000679,11,3,0,0,0
219000423,17,6,0,1,0
219000575,18,6,0,3,0
219000444,8,4,0,1,0
219000565,18,7,0,1,0
219000573,7,3,0,1,0
219001057,45,7,0,5,0
219000818,40,6,0,2,0
219001122,24,6,0,5,0
219001121,22,6,0,5,0
219001092,19,6,0,1,0
219001091,18,6,0,1,0
219001118,9,2,0,0,0
219001117,9,4,0,1,0
219000752,13,4,0,1,0
219001116,15,4,0,1,0
219000443,22,4,0,1,0
219000442,26,6,0,5,0
218001128,2,3,0,0,0
218001127,2,1,0,0,0
218001027,1,1,0,0,0
218001026,1,1,0,0,1
277103762,0,0,0,0,0
277103474,0,0,0,0,0
277103475,0,0,0,0,0
277103761,0,0,0,0,0
277103476,0,0,0,0,0
277103477,0,0,0,0,0
218001257,1,0,0,1,0
218001115,2,0,0,1,0
219000192,104,19,2,37,0
219000190,73,13,2,21,0
219000748,265,38,0,7,0
219000307,52,10,1,29,0
219000308,24,5,1,9,0
219000381,19,3,1,2,0
219000372,10,3,1,0,0
219000328,13,7,0,3,0
219000330,18,8,0,4,0
219000371,38,7,1,3,0
219000382,6,4,0,2,0
219000683,2,0,0,0,0
219000675,2,0,0,0,0
219000802,1,0,0,0,0
219000989,1,0,0,0,0
219000294,7,0,0,0,0
219000782,6,0,0,0,0
219000783,6,0,0,0,0
219507350,7,0,0,0,0
219000120,0,0,0,0,0
219000342,0,0,0,0,0
219000005,6,3,0,0,0
218000816,3,1,0,0,1
218000815,3,1,0,0,1
218000674,6,0,0,0,0
218000673,6,0,0,0,0
219000691,95,21,1,21,0
219000692,106,23,1,22,0
219000694,71,13,1,8,0
218000664,16,5,1,9,0
218000665,11,5,1,8,0
218000306,2,2,0,0,0
218000311,2,2,0,0,0
218000625,3,2,0,0,0
218000001,0,1,0,0,0
218000002,0,1,0,0,0
218000626,3,2,0,0,0
218000803,0,0,0,0,1
218000785,25,6,0,4,0
218000025,24,5,0,3,0
218000162,24,6,0,3,0
218000569,14,2,0,0,0
218000570,15,2,0,0,0
219514110,0,0,0,0,0
219514120,0,0,0,0,0
219000077,8,1,0,0,1
219000092,8,1,0,0,1
219000470,8,1,0,0,1
219000228,8,1,0,0,1
219000322,17,0,0,1,1
219000336,12,0,0,0,1
219000995,199,40,2,18,0
219000996,197,39,2,16,0
218000730,307,60,3,74,1
218000731,307,61,3,74,1
277103172,0,0,0,0,0
277103173,0,0,0,0,0
219000778,4,5,0,0,0
219000777,3,7,0,0,0
219000243,40,13,0,5,0
219001032,2,0,0,0,1
219000247,32,12,0,4,0
218000320,29,12,0,7,0
218000316,29,16,0,7,0
218000013,36,15,0,10,0
218000020,80,22,0,19,0
219000645,0,0,0,0,1
219000644,0,0,0,0,1
277101631,0,0,0,0,1
277101630,0,0,0,0,1
219000774,4,4,0,0,0
219000773,4,4,0,0,0
218000178,79,8,0,9,0
218000049,77,8,1,7,0
218000641,43,8,0,4,0
218000640,43,7,0,4,0
218000046,18,3,0,1,0
218000181,18,3,0,1,0
218000177,99,14,2,17,0
218000050,97,12,2,16,0
218000985,93,13,2,14,0
218000497,3,0,0,0,0
218000494,3,0,0,0,0
218000729,86,9,2,12,0
218000728,73,8,2,13,0
218001249,49,8,1,9,1
219000395,0,0,0,0,0
219000274,0,0,0,0,0
219001003,374,96,2,21,1
219001004,365,91,2,20,1
218000717,7,7,0,0,0
218000716,7,6,0,0,0
218001195,122,31,0,13,0
218001194,122,31,0,13,0
218000346,55,17,0,0,0
218000105,142,30,0,15,0
218000345,80,19,0,1,0
218000117,70,21,0,1,0
218000112,81,23,0,1,0
218000066,159,33,0,27,0
218000941,91,27,0,1,0
218000940,90,27,0,1,0
219000770,6,1,0,0,0
219000771,6,1,0,0,0
218000833,22,6,0,4,0
218000848,22,6,0,4,0
218000782,21,6,1,5,0
218000905,21,6,1,5,0
218001074,22,6,0,4,0
218000103,14,3,0,3,0
218000068,6,3,0,0,0
219000728,18,0,0,0,0
219000727,19,0,0,0,0
219000721,10,2,0,0,0
219000722,9,2,0,0,0
218000029,3,0,0,3,0
218000158,9,3,0,3,0
218509990,75,10,2,8,0
218511960,67,8,2,8,0
218001310,0,0,0,0,0
218001299,0,0,0,0,0
218001250,45,8,1,9,1
219000450,12,1,0,1,0
219000451,17,1,0,1,0
218000639,21,6,1,11,0
218000638,21,7,1,11,0
218000953,84,13,1,14,0
218000535,6,0,1,0,0
218000536,6,0,1,0,0
218000051,80,13,1,12,0
219000233,4,3,0,0,0
219000105,4,3,0,0,0
218516690,3,0,0,0,0
218516680,2,0,0,0,0
219001006,0,0,0,0,0
219001007,0,0,0,0,0
219000934,1,0,0,0,0
219000935,1,0,0,0,0
218000156,107,13,2,9,0
218000030,120,17,2,12,0
218001048,118,17,2,11,0
