link_id,road_name,max_spd,rd_rank_h,rd_type_h,rest_veh_h,rest_w,rest_h,remark,coordinates
2190159000,제2자유로,40,지방도,일반도로,모두통행가능,0,0,,"[126.70790299927, 37.6803721074626]; [126.707993000064, 37.6811349998804]; [126.708079999989, 37.6817500003073]; [126.708149999344, 37.6823200007757]; [126.70819532548, 37.6828896777115]"
2190173103,구산로,50,시·군도,일반도로,모두통행가능,0,0,,"[126.703566252639, 37.6919148719727]; [126.703692672574, 37.6921016184049]; [126.703839547881, 37.6923022756057]; [126.703938067364, 37.6925200241897]"
2190173203,구산로,50,시·군도,일반도로,모두통행가능,0,0,,"[126.703446434971, 37.6919660885734]; [126.70340567254, 37.691905868555]; [126.70318326718, 37.6917068064496]; [126.7029558295, 37.6915323377377]; [126.702793642264, 37.6914056819489]; [126.702665391157, 37.6912844002215]; [126.702431859868, 37.6911495868038]; [126.702108142318, 37.6909082131119]; [126.701732142222, 37.690601243343]; [126.701490391443, 37.6902220559391]; [126.701369454518, 37.6899683057871]; [126.701335704739, 37.6897160566286]; [126.701268151436, 37.6884728880977]"
2190211003,덕산로,50,시·군도,일반도로,모두통행가능,0,0,,"[126.70858144199, 37.6951076209599]; [126.708692000045, 37.6951019996504]; [126.708805000356, 37.695098000024]; [126.708919000203, 37.6950950001339]; [126.70903199948, 37.6950930004481]; [126.709143000282, 37.6950900001491]; [126.709252999886, 37.6950869999801]; [126.709357000525, 37.6950790007385]; [126.709445482438, 37.6950681482413]"
2190210902,덕산로,50,시·군도,일반도로,모두통행가능,0,0,,"[126.708590063171, 37.695215467475]; [126.708165511748, 37.6952367730227]"
2190182300,제2자유로,40,지방도,일반도로,모두통행가능,0,0,,"[126.707752001034, 37.6857688038825]; [126.707671000062, 37.6848249999485]; [126.70744435344, 37.6830146506101]"
2190173204,구산로,50,시·군도,일반도로,모두통행가능,0,0,,"[126.704372494454, 37.694247911961]; [126.704344735371, 37.6941807756001]; [126.704071704426, 37.6933876810296]; [126.703854579394, 37.6926550571334]; [126.703810033842, 37.6925566036809]"
2190173104,구산로,50,시·군도,일반도로,모두통행가능,0,0,,"[126.704501741259, 37.694214167256]; [126.704659485446, 37.6945956192238]; [126.704869798481, 37.6948086808641]; [126.705104235033, 37.6950069309892]; [126.705465360205, 37.6951249312168]; [126.705560807792, 37.6951368275761]"
2290288201,산남로,50,시·군도,일반도로,모두통행가능,0,0,,"[126.699295583989, 37.6979058130224]; [126.699327597255, 37.6978993757646]; [126.699406147904, 37.6978743037451]; [126.700644964441, 37.697131042486]; [126.700727203872, 37.6970553803112]; [126.70095524631, 37.69689358552]; [126.701321070643, 37.6966579676555]; [126.701764406392, 37.6965117554414]; [126.702047513664, 37.6964961157537]; [126.702566595177, 37.6965119471688]; [126.702723646504, 37.6965235756284]; [126.702837581141, 37.6965351156428]"
2190182200,제2자유로,80,지방도,일반도로,이륜차,0,0,,"[126.707722994223, 37.6913546461342]; [126.707752001034, 37.6857688038825]"
2190107309,곳산길,50,시·군도,일반도로,모두통행가능,0,0,,"[126.703279002232, 37.6815319181796]; [126.703278997442, 37.6820564385703]"
2190107410,곳산길,50,시·군도,일반도로,모두통행가능,0,0,,"[126.703142975543, 37.6815306060644]; [126.703155478176, 37.6808724907401]; [126.703155478413, 37.6808724763527]"
2190131001,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.679650935843, 37.6838419235998]; [126.679664777739, 37.6839718340416]"
2190164101,송산로,30,지방도,일반도로,이륜차,0,0,,"[126.679664777739, 37.6839718340416]; [126.679526018572, 37.6839795305414]"
2190171601,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.679526018572, 37.6839795305414]; [126.679514678471, 37.6838494109979]"
2190164201,송산로,30,지방도,일반도로,이륜차,0,0,,"[126.679514678471, 37.6838494109979]; [126.679650935843, 37.6838419235998]"
2190173205,구산로,50,시·군도,일반도로,모두통행가능,0,0,,"[126.705539723335, 37.6952436189158]; [126.705428423115, 37.6952297437698]; [126.70502526676, 37.6950980254949]; [126.704766485223, 37.694879212621]; [126.704537673218, 37.694647400245]; [126.704372494454, 37.694247911961]"
2190173105,구산로,50,시·군도,일반도로,모두통행가능,0,0,,"[126.705560807792, 37.6951368275761]; [126.706011704287, 37.6951930251426]; [126.706875236098, 37.6951459934061]; [126.707502141681, 37.6951620933565]"
2190107310,곳산길,50,시·군도,일반도로,모두통행가능,0,0,,"[126.703044455996, 37.6762294143961]; [126.703045735292, 37.6762311201017]; [126.703148845431, 37.6763943770474]; [126.703263907546, 37.6766585931053]; [126.703328336865, 37.6768733568582]; [126.703354090313, 37.6771051526519]; [126.703329019909, 37.678157687973]"
2190107411,곳산길,50,시·군도,일반도로,모두통행가능,0,0,,"[126.70292637361, 37.6762831211726]; [126.702790147907, 37.6761014880676]; [126.702527675054, 37.6757515269287]; [126.702489930267, 37.6757012005022]; [126.702489634436, 37.6757007929163]"
2190214002,덕산로,50,시·군도,일반도로,모두통행가능,0,0,,"[126.705826484899, 37.6959064006904]; [126.705681329495, 37.6959612446935]; [126.705527735329, 37.6960180243775]; [126.705374516845, 37.6960746507327]; [126.705222892227, 37.6961313060994]; [126.705073892296, 37.6961865253769]; [126.70493154836, 37.6962367751356]; [126.704792266322, 37.6962854313579]; [126.704671317669, 37.6963247478628]"
2190214103,덕산로,40,시·군도,일반도로,모두통행가능,0,0,,"[126.705768074123, 37.6958087827515]; [126.705772891932, 37.6958069626053]; [126.705919298221, 37.6957503998275]; [126.706066548098, 37.695693493897]; [126.706212110984, 37.695639931595]; [126.706357360098, 37.6955865260015]; [126.70650051683, 37.6955348998484]; [126.706638485602, 37.695483368731]; [126.70676811059, 37.6954351809376]; [126.70688429843, 37.6953903688839]; [126.706987891999, 37.6953502753523]; [126.707075798655, 37.6953170874649]; [126.707140329076, 37.695291275389]; [126.707185860921, 37.6952708687934]; [126.707202483186, 37.6952625645967]"
2190179201,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.680782323238, 37.6882250793334]; [126.680726000014, 37.6880889999281]; [126.680337999761, 37.6870719999273]; [126.679937999305, 37.6858729997959]; [126.67976978893, 37.68535202742]"
2190179102,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.682039048008, 37.691026333292]; [126.682415999444, 37.6921620000474]; [126.682753999386, 37.6936699999384]; [126.682797984527, 37.6939359035457]"
2190179202,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.681947545201, 37.691046802493]; [126.681650000559, 37.6902139998548]; [126.680988000265, 37.6887219997099]; [126.680782323238, 37.6882250793334]"
2190179101,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.680926127401, 37.6881874928416]; [126.681790998996, 37.6902790000222]; [126.682039048008, 37.691026333292]"
2190168200,제2자유로,80,지방도,일반도로,이륜차,0,0,,"[126.707752001034, 37.6857688038825]; [126.707777993866, 37.6832276118035]"
2190173106,구산로,50,시·군도,일반도로,모두통행가능,0,0,,"[126.701404065099, 37.6884682240317]; [126.701471422888, 37.6897079941841]; [126.701502891831, 37.6899430253256]; [126.701615048145, 37.6901783687533]; [126.701844141101, 37.6905376502217]; [126.702203454122, 37.6908310565847]; [126.702518735528, 37.6910660875053]; [126.702758829745, 37.6912047130977]; [126.702893642382, 37.6913321811249]; [126.703050765931, 37.6914549002864]; [126.703281547284, 37.6916318999571]; [126.703517953839, 37.6918435251208]; [126.703566252639, 37.6919148719727]"
2190173206,구산로,50,시·군도,일반도로,모두통행가능,0,0,,"[126.701268151436, 37.6884728880977]; [126.70123701623, 37.687899900545]; [126.700972141332, 37.6864353377996]; [126.70064864262, 37.6845517126248]; [126.700628767763, 37.6844360940275]"
2190208801,동서대로,80,지방도,일반도로,이륜차,0,0,,"[126.699378732758, 37.6947015474769]; [126.698906999649, 37.694521000144]; [126.697975000185, 37.6942039996399]; [126.696853999868, 37.6938909992053]; [126.69600230795, 37.6936858698467]"
2190208701,동서대로,80,지방도,일반도로,이륜차,0,0,,"[126.699442122366, 37.6945969683946]; [126.699889000366, 37.6947680005038]; [126.70079800031, 37.6951510003868]; [126.700803000486, 37.6951530006203]; [126.701726000797, 37.6955880005941]; [126.702576409177, 37.6960335004647]"
2290320202,동서대로,80,지방도,일반도로,이륜차,0,0,,"[126.707553510272, 37.6986066919848]; [126.706333000437, 37.6980089997162]; [126.704310999375, 37.697029000442]; [126.703575828823, 37.6966587873931]"
2290320801,제2자유로,80,지방도,지하차도,이륜차,0,0,,"[126.71129792507, 37.7004846268957]; [126.711273344366, 37.7004749556862]; [126.710812788009, 37.700253708678]; [126.710365777392, 37.7000189154831]; [126.709936828413, 37.6997841217734]; [126.709652367554, 37.6996215718674]; [126.70948078721, 37.6994906298593]; [126.709336299371, 37.6993235659172]; [126.709137627766, 37.6991113492516]; [126.709015715705, 37.6989171924828]; [126.708681587079, 37.6984295448776]; [126.708231456043, 37.6976188206357]"
2290320001,동서대로,80,지방도,일반도로,이륜차,0,0,,"[126.691556295179, 37.6928267851437]; [126.690250999662, 37.6925749996914]; [126.688777999423, 37.6923090003435]; [126.687096997207, 37.6920122910104]"
2290319901,동서대로,80,지방도,일반도로,이륜차,0,0,,"[126.691591558859, 37.6927113438687]; [126.692046000349, 37.6927989996165]; [126.694265999675, 37.6932109997916]; [126.696042473973, 37.6935715172207]"
2190131103,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.686671212486, 37.6745533445667]; [126.687012422565, 37.6742819938448]; [126.689062235584, 37.6728406497025]; [126.690210083866, 37.67210819704]"
2190131003,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.690320985104, 37.6722178364956]; [126.688487485096, 37.6734154317286]; [126.686796510341, 37.6746534096451]"
2190131102,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.690210083866, 37.67210819704]; [126.69082479785, 37.6717159317456]; [126.692837173556, 37.670582712882]; [126.694061600351, 37.6699830853704]"
2190131004,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.686796510341, 37.6746534096451]; [126.686575110897, 37.6748154933041]; [126.684700234964, 37.6763150562354]; [126.683900454153, 37.6770319939533]; [126.683576703677, 37.6773409974619]"
2190131002,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.694143931591, 37.6700893202479]; [126.693424485084, 37.6704410874211]; [126.691974548582, 37.671215680623]; [126.690974736356, 37.6717908066109]; [126.690320985104, 37.6722178364956]"
2190131005,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.683576703677, 37.6773409974619]; [126.68314520364, 37.677752837079]; [126.682712829093, 37.6781652755301]; [126.681425329286, 37.6794731192569]; [126.680837955156, 37.680214962621]; [126.680754720711, 37.6803260409889]"
2190131104,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.683465979327, 37.6772640348008]; [126.684937610975, 37.6759319623358]; [126.686671212486, 37.6745533445667]"
2190158800,제2자유로,80,지방도,일반도로,이륜차,0,0,,"[126.70790299927, 37.6803721074626]; [126.707913997727, 37.6818047093017]"
2190179001,자유로,50,일반국도,일반도로,이륜차,0,0,,"[126.680614419429, 37.6908091208396]; [126.680160000343, 37.6906619999766]; [126.679964999976, 37.6905320001609]; [126.67976800039, 37.6904119999019]; [126.679602000532, 37.6902699997811]; [126.679467000626, 37.6901119995105]; [126.679368000478, 37.6899380001756]; [126.679306999881, 37.6897530004986]; [126.679285000378, 37.6895599998986]; [126.679302000313, 37.6893630005163]; [126.679359999561, 37.689162999743]; [126.679453000234, 37.6889649996375]; [126.679563000144, 37.6887730001778]; [126.67967499965, 37.6885820007144]; [126.679772999511, 37.6883880007218]; [126.679792683286, 37.6883513556209]"
2190203201,자유로,50,일반국도,일반도로,이륜차,0,0,,"[126.680658042667, 37.690702884045]; [126.680756999939, 37.6907280003038]; [126.680963000117, 37.6907730001083]; [126.681177999753, 37.6908150002175]; [126.681400000749, 37.6908569999301]; [126.681631999965, 37.69090000017]; [126.681867000503, 37.6909469993624]; [126.682107999929, 37.6909929997619]; [126.68235499992, 37.6910400005963]; [126.682608000506, 37.6910880000259]; [126.682864999427, 37.6911370007362]; [126.683128000118, 37.6911869999757]; [126.683397000327, 37.6912379995002]; [126.683669999494, 37.6912880000483]; [126.683941999609, 37.6913400001507]; [126.684215000065, 37.6913880001811]; [126.684339999663, 37.691422999792]"
2190164202,송산로,30,지방도,일반도로,이륜차,0,0,,"[126.68454209353, 37.6831707899511]; [126.685663235217, 37.68301105686]; [126.687425453928, 37.6827615251991]; [126.687625672981, 37.682732369473]; [126.68891276697, 37.6825449000688]; [126.689428398395, 37.6824737206898]"
2190164102,송산로,30,지방도,일반도로,이륜차,0,0,,"[126.684566096074, 37.6832772082311]; [126.684224298355, 37.6833259001438]; [126.682987110611, 37.6834928688048]; [126.682436830188, 37.6835722751268]; [126.682378485542, 37.6835805565337]; [126.682343391712, 37.6835858372271]; [126.682062641478, 37.6836260876414]; [126.680588017211, 37.683842712888]; [126.680235017163, 37.6838950570379]; [126.679664777739, 37.6839718340416]"
2190164203,송산로,30,지방도,일반도로,이륜차,0,0,,"[126.689428398395, 37.6824737206898]; [126.690000266578, 37.6823947754129]; [126.692486548008, 37.682036743778]; [126.693000204246, 37.6819532443961]; [126.693380860635, 37.6819105878399]; [126.693638828694, 37.6819023998579]; [126.693860797851, 37.6819195568999]; [126.694133078824, 37.6819716811183]; [126.694305788519, 37.6820290948671]"
2190164103,송산로,30,지방도,일반도로,이륜차,0,0,,"[126.689451672495, 37.6825802204864]; [126.688936673598, 37.6826513060825]; [126.687650173393, 37.6828386818103]; [126.687449642044, 37.6828678998176]; [126.685687172356, 37.6831174942304]; [126.684566096074, 37.6832772082311]"
2190164302,송산로,30,지방도,일반도로,모두통행가능,0,0,,"[126.698055183628, 37.6828301075939]; [126.698132267111, 37.6828464311106]; [126.698362892309, 37.6829148069481]; [126.698569516986, 37.6829921811977]; [126.698849579522, 37.6831363688291]; [126.699102485859, 37.6832797747405]; [126.699379610235, 37.6834558688468]; [126.699656516861, 37.6836404624422]; [126.699883298028, 37.683808775159]; [126.700033172837, 37.683925212834]; [126.700152141687, 37.6840129315549]; [126.700220173277, 37.6840451819128]; [126.700309079458, 37.6840514939581]; [126.700425516909, 37.6840375561894]; [126.700500268948, 37.6840019911884]"
2190164401,송산로,30,지방도,일반도로,모두통행가능,0,0,,"[126.698020164345, 37.6829345823287]; [126.697820329671, 37.6828922748303]; [126.697718517408, 37.6828738998158]; [126.697496141591, 37.6828342435348]; [126.697046735643, 37.6827505246056]; [126.696547048473, 37.6826673377164]; [126.695995704881, 37.6825669619124]; [126.695543829827, 37.6824749004789]; [126.69513082164, 37.6823807177254]"
