link_id,road_name,max_spd,rd_rank_h,rd_type_h,rest_veh_h,rest_w,rest_h,remark,coordinates
2380051012,장백로,60,시·군도,일반도로,모두통행가능,0,0,,"[126.864371468381, 37.9893972629216]; [126.864570748831, 37.9893232437555]; [126.864970044424, 37.9892139135297]"
2380050911,장백로,60,시·군도,일반도로,모두통행가능,0,0,,"[126.864432981409, 37.9895009941497]; [126.864385508372, 37.989518626835]; [126.864212729296, 37.9896482110322]; [126.864072399507, 37.9898650848879]; [126.864011770371, 37.9899913959959]"
2380050610,장남로,50,지방도,일반도로,모두통행가능,0,0,,"[126.858706565991, 37.9895516928557]; [126.858949427289, 37.9896141700318]; [126.859592299452, 37.9897814667218]"
2380050509,장남로,50,지방도,일반도로,모두통행가능,0,0,,"[126.8586611712, 37.9896622167843]; [126.857917972614, 37.9894710214524]"
2380051110,장백로,60,지방도,일반도로,모두통행가능,0,0,,"[126.881487083085, 37.9916730271223]; [126.881398086795, 37.9917736314582]; [126.881061584048, 37.9919377789969]; [126.880605571565, 37.9921421984182]; [126.880330442157, 37.9923179758839]; [126.880147210449, 37.9925088414639]; [126.879886332991, 37.9928345435696]; [126.879537319709, 37.9932152854528]; [126.879347959855, 37.9934375769272]; [126.878935902632, 37.9936436052169]; [126.878553342571, 37.9937556691517]"
2380051210,장백로,60,지방도,일반도로,모두통행가능,0,0,,"[126.881378833755, 37.9916130521253]; [126.881485653466, 37.9914922988279]; [126.881559586693, 37.9912261420766]; [126.881574131058, 37.9909527101446]"
2380050510,장남로,50,지방도,일반도로,모두통행가능,0,0,,"[126.861687401623, 37.9904528210326]; [126.861571245598, 37.990418724715]; [126.859546445553, 37.9898918318694]"
2380050611,장남로,50,지방도,일반도로,모두통행가능,0,0,,"[126.861738255717, 37.9903443115286]; [126.862886455309, 37.9906813445834]"
2380051611,원당로,30,지방도,일반도로,모두통행가능,0,0,,"[126.883771466025, 37.9771843853923]; [126.883313024176, 37.9766514445923]; [126.883088257382, 37.9764322971779]"
2380051511,원당로,30,지방도,일반도로,모두통행가능,0,0,,"[126.883880404954, 37.9771256693177]; [126.884038684996, 37.9773096681949]; [126.884159569344, 37.9774398523417]"
2380050912,장백로,60,시·군도,일반도로,모두통행가능,0,0,,"[126.875347322407, 37.9845905665962]; [126.874818068468, 37.9850121140632]"
