id,restaurant,cafe,supermarket,hospital,landmark
228001155,42,8,0,0,0
228001154,26,6,0,0,0
228002003,0,0,0,0,0
228001673,8,1,0,0,0
228001380,3,2,0,0,0
228000981,4,3,0,0,0
228000862,31,10,0,14,0
228001037,73,17,0,36,0
228001047,112,31,0,40,0
228000858,52,7,0,15,0
228000863,51,7,0,13,0
228000857,91,16,0,42,0
228000864,99,17,0,43,0
228000859,24,8,0,10,0
228000956,34,3,0,1,0
228000967,38,3,0,1,0
228000861,14,7,0,6,0
228003388,95,18,2,22,0
228003387,99,20,2,22,0
228003383,15,5,0,2,0
228003385,15,2,0,2,0
228001478,19,3,0,1,0
228001464,20,3,0,1,0
228002016,0,0,0,0,0
228000002,23,9,0,4,0
228003329,28,11,0,0,0
228003328,21,7,0,0,0
228001146,23,9,0,4,0
228003395,3,5,0,0,0
228003491,0,1,0,0,0
228001448,0,0,0,0,0
277101626,0,0,0,0,0
228000639,0,0,0,0,0
228001237,0,0,0,0,0
277101804,0,0,0,0,0
228001618,0,0,0,0,0
228001617,0,0,0,0,0
228000544,1,1,0,0,0
228000569,1,1,0,0,0
277102216,0,0,0,0,0
277102217,0,0,0,0,0
228001619,1,1,0,1,0
277102131,0,1,0,0,0
228000545,0,0,0,1,0
228000568,0,0,0,1,0
228000567,2,0,0,0,0
228000546,2,0,0,0,0
228001948,2,0,0,0,0
228000492,2,0,0,0,0
228000491,2,0,0,0,0
228002346,0,1,0,0,1
228002345,0,1,0,0,1
228000805,61,9,1,6,0
228000811,81,15,1,18,0
228003284,1,2,0,0,0
228002151,1,1,0,0,0
228002152,1,1,0,0,0
228000338,13,1,0,0,0
228000303,14,1,0,0,0
228003454,9,3,0,0,1
228003453,8,3,0,0,1
228001397,1,1,0,0,1
228000141,14,3,0,2,0
228000146,16,3,0,2,0
228003356,17,1,0,2,0
228001099,16,5,0,0,0
228000694,137,26,1,10,0
228000684,139,28,1,10,0
228002983,160,34,1,11,0
228002982,161,35,1,11,0
242500980,160,35,1,11,0
228003030,7,6,0,0,0
228003011,8,6,0,0,0
228003009,9,7,0,0,0
228003008,9,6,0,0,0
228003052,10,4,0,1,0
228003285,153,32,1,11,0
228003039,153,32,1,11,0
228003038,9,4,0,0,0
228003053,3,2,0,0,0
228003037,17,3,0,2,0
228003079,16,3,0,2,0
228003031,5,2,0,0,0
228003071,15,2,0,2,0
228003223,81,14,1,3,0
228003221,87,12,0,5,0
228001116,8,1,0,0,0
228001111,5,2,0,0,0
228002280,0,0,0,0,0
228000629,0,0,0,0,0
228000638,0,0,0,0,0
228003023,46,14,0,9,0
228003024,50,13,1,10,0
228003022,0,0,0,0,0
228003025,2,0,0,0,0
228001123,58,12,1,5,1
228000801,50,12,1,5,1
228000793,52,13,1,5,1
228003231,55,15,1,6,2
228003230,64,15,1,6,2
228001103,64,9,0,15,1
228002356,1,1,0,0,0
228002355,1,1,0,0,0
228001131,3,1,0,1,0
228001095,13,3,0,3,0
228001094,41,14,1,17,0
228001133,39,14,1,17,0
228002985,33,11,0,8,0
228002984,33,11,0,10,0
228001792,8,4,1,4,0
228002031,3,2,1,0,0
228003538,2,2,1,0,0
228003539,3,2,1,0,0
228003243,12,3,0,1,0
228003242,11,3,0,0,0
228003262,1,0,0,0,0
228003261,1,0,0,0,0
228000850,18,6,0,0,0
228000839,18,6,0,0,0
277102873,16,3,0,2,0
228000723,140,45,0,0,0
228000707,2,1,0,0,2
228000706,2,1,0,0,2
277103088,2,1,0,0,2
228000703,10,13,0,0,0
228003188,60,22,1,3,0
228003187,63,26,1,3,0
228000525,3,0,0,0,0
228000526,3,0,0,0,0
228003463,17,6,0,0,1
228003464,17,6,0,0,1
243502260,1,2,0,0,0
243502360,1,2,0,0,0
228003547,9,6,0,0,0
228003548,9,6,0,0,0
243502420,0,0,0,0,1
243502440,0,0,0,0,1
228003471,3,2,0,0,1
228003472,3,2,0,0,1
228001518,0,0,0,0,0
228000614,0,0,0,0,0
228001969,0,0,0,0,1
228000714,3,1,0,0,0
228000719,3,1,0,0,0
228002234,2,3,0,0,0
228002235,1,2,0,0,0
228000436,11,6,0,0,0
228000437,9,4,0,0,0
277102097,1,1,0,0,0
228000292,19,4,0,0,0
228000279,18,4,0,0,0
228003327,1,0,0,0,1
228001114,11,2,0,0,0
228001113,11,2,0,0,0
228001795,11,2,0,0,0
228001932,0,0,0,0,0
228001933,0,0,0,0,0
228001931,1,0,0,0,0
228001930,1,0,0,0,0
228000556,2,0,0,0,0
228001873,0,0,0,0,0
228001872,0,0,0,0,0
228001439,3,0,0,0,0
228001438,2,0,0,0,0
228002075,0,0,0,0,1
228002074,0,0,0,0,1
228003357,7,3,0,0,0
228002140,6,1,0,0,0
228000322,6,1,0,0,0
228000319,6,1,0,0,0
228003109,14,4,0,2,1
228003110,12,4,0,2,1
228000637,0,0,0,0,0
228001238,0,0,0,0,0
228003317,0,0,0,0,0
228001783,213,41,1,39,0
228001782,214,41,1,39,0
228001926,0,1,0,0,0
228000654,0,0,0,0,0
228000427,96,19,0,10,2
228000418,106,20,0,16,2
228001224,13,10,1,2,0
228001225,13,9,1,2,0
228002279,11,3,0,0,1
228001107,11,2,0,0,1
228000514,0,0,0,0,0
228000519,0,0,0,0,0
228001334,12,4,0,0,0
228001336,11,3,0,0,0
228003450,0,1,0,0,0
228000501,4,1,0,0,0
228000504,4,1,0,0,0
228003559,13,13,0,2,0
228003582,14,4,0,1,0
228003581,25,7,0,5,0
228003376,1,2,0,0,1
228003555,41,18,0,7,0
228003554,34,19,0,6,0
228003556,35,17,0,6,0
243502500,7,8,0,0,2
243502230,7,8,0,0,2
243502200,4,5,0,0,2
277103652,0,0,0,0,0
228000876,11,2,0,0,0
228001043,10,1,1,0,0
228002014,12,9,0,2,0
228002035,12,8,0,1,0
228003346,6,2,0,2,0
228003344,4,2,0,2,0
228003345,10,2,0,3,0
228000847,5,1,0,0,1
228000842,5,1,0,0,1
228003180,3,2,0,0,0
242500990,2,1,0,0,0
228002135,1,0,0,0,0
228001022,0,1,0,0,0
228001064,0,1,0,0,0
228000194,4,3,0,1,0
228000189,4,3,0,1,0
228003173,189,36,2,28,0
228003211,189,36,2,28,0
228003012,160,34,1,11,0
228003029,160,34,1,11,0
242503200,76,14,1,18,0
