link_id,road_name,max_spd,rd_rank_h,rd_type_h,rest_veh_h,rest_w,rest_h,remark,coordinates
2450072903,성복2로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.068493231742, 37.3175382899712]; [127.068205679104, 37.3177532276754]; [127.067917619107, 37.3179511369345]; [127.06788947235, 37.3179684230376]"
2450073004,성복2로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.068402887963, 37.3174615593465]; [127.068924894323, 37.3170688018474]"
2450067403,성복2로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.07167547939, 37.3160603754568]; [127.072116922647, 37.3159291190068]; [127.072343997077, 37.3158827809153]"
2450067303,성복2로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.071722710681, 37.3161617096947]; [127.07150523517, 37.3162263683028]; [127.070758985238, 37.3165817116385]; [127.070351767071, 37.3167627126576]; [127.069906642613, 37.3168989622946]; [127.069476641928, 37.3169975255447]; [127.069070048389, 37.3171099621075]"
2450066803,성복2로76번길,30,시·군도,일반도로,모두통행가능,0,0,,"[127.081334638116, 37.31634917156]; [127.081316235656, 37.316311712552]; [127.081148329412, 37.3161314002665]; [127.081001641859, 37.3159804937767]; [127.080720297663, 37.3157640567219]; [127.080614773958, 37.31570818403]"
2450066702,성복2로76번길,30,시·군도,일반도로,모두통행가능,0,0,,"[127.081460652271, 37.3163096767774]; [127.081514485557, 37.316419243404]; [127.081798079832, 37.3170743056783]"
2450087100,용인서울고속도로,40,고속국도,일반도로,이륜차,0,0,,"[127.057273323857, 37.3238594730403]; [127.057442142302, 37.3241151116079]; [127.057876993073, 37.3248740261656]; [127.058239650438, 37.3255229224521]; [127.058425675985, 37.3258769176466]; [127.058548668862, 37.3261387464779]; [127.058681570511, 37.3264504324941]; [127.058705535692, 37.3282834114156]"
2450078600,성복1로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.061495856329, 37.3207644719143]; [127.061443673594, 37.3209587626058]"
2450134001,-,30,시·군도,터널,모두통행가능,0,450,도로명없음,"[127.067513153207, 37.3230408498436]; [127.067432029729, 37.3229621884507]; [127.067431267311, 37.3229614327285]; [127.067302334857, 37.3228307764617]; [127.067301537577, 37.3228299489735]; [127.067174896884, 37.3226953098618]; [127.067174065849, 37.322694403002]; [127.067050500216, 37.3225559725333]; [127.067049637304, 37.322554977813]; [127.066929930023, 37.3224129474782]; [127.066929038155, 37.3224118555085]; [127.066813972511, 37.3222664168015]; [127.066813055979, 37.3222652173102]; [127.066703415248, 37.3221165617272]; [127.066702480109, 37.3221152436343]; [127.066599047557, 37.3219635626738]; [127.066598102086, 37.32196211425]; [127.06650166097, 37.3218075994125]; [127.066500716171, 37.3218060085574]; [127.066412049742, 37.3216488513446]; [127.06641111989, 37.3216471060268]; [127.066331011387, 37.3214874979412]; [127.066330114556, 37.3214855868449]; [127.066259347209, 37.3213237193897]; [127.066258505706, 37.3213216328097]; [127.066197862737, 37.3211576974875]; [127.066196902186, 37.3211547336987]; [127.066151039363, 37.3209903925181]; [127.06611539589, 37.320873043887]"
2450134101,-,30,시·군도,터널,모두통행가능,0,450,도로명없음,"[127.067600241556, 37.3229835668856]; [127.067649199835, 37.3230310391287]; [127.067779656081, 37.3231524943037]; [127.067910089851, 37.3232694485987]; [127.068039717769, 37.3233817056901]; [127.068167756456, 37.3234890699559]; [127.068293422671, 37.3235913464574]; [127.068415933458, 37.3236883409447]; [127.068534453146, 37.32377981885]; [127.06870332852, 37.3239064915885]; [127.06962820817, 37.3245825118346]; [127.069630191946, 37.3245840344514]; [127.069716148039, 37.3246533072424]; [127.069717358431, 37.3246543134017]; [127.06979152198, 37.3247181026743]"
2450059301,포은대로,60,일반국도,일반도로,모두통행가능,0,0,,"[127.086159833715, 37.3141631508431]; [127.086116830322, 37.3141311810655]; [127.086110767013, 37.3141264622562]; [127.086105485968, 37.314121181533]; [127.085159079772, 37.313042930913]; [127.085156392276, 37.3130395873062]; [127.084360548664, 37.3119742127666]; [127.084357205004, 37.3119691188984]; [127.084354548095, 37.3119638055893]; [127.08395326573, 37.3110151594193]"
2450061603,수지로112번길,30,시·군도,일반도로,모두통행가능,0,0,,"[127.084253795703, 37.3137838889783]; [127.083712895691, 37.3136389340281]"
2450061502,수지로112번길,30,시·군도,일반도로,모두통행가능,0,0,,"[127.084296491587, 37.3136829052953]; [127.08545700662, 37.3139968812069]"
2450040702,수지로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.082090395294, 37.3137196843623]; [127.081527167956, 37.3139194011017]; [127.080784385752, 37.3140635645186]"
2450040803,수지로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.082035466071, 37.3136208616161]; [127.082068212804, 37.3136092497176]; [127.082327480332, 37.313540115274]; [127.082898103726, 37.3134809451521]; [127.083439349847, 37.3134465840555]; [127.083617479624, 37.3134980786066]"
2450068101,성복2로78번길,30,시·군도,일반도로,모두통행가능,0,0,,"[127.077225325778, 37.3192616825991]; [127.077230545641, 37.3192756803513]; [127.077218057053, 37.3193089870775]; [127.077193087398, 37.3193339564397]; [127.077155523305, 37.3193506781637]; [127.077118053129, 37.3193506343999]; [127.077068035515, 37.3193339602445]; [127.077043100491, 37.3192923171464]; [127.077043014684, 37.3192673483999]; [127.077055523266, 37.3192506272978]; [127.077080559334, 37.3192339509688]; [127.077084078876, 37.3192323879303]"
2450068201,성복2로78번길,30,시·군도,일반도로,모두통행가능,0,0,,"[127.077084078876, 37.3192323879303]; [127.07711801002, 37.3192173190016]; [127.077168008123, 37.3192173173933]; [127.077193016648, 37.319225699521]; [127.077218092093, 37.3192422845108]; [127.077225325778, 37.3192616825991]"
2450073005,성복2로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.06780993848, 37.3178839952273]; [127.067851019292, 37.3178596823688]; [127.068113228691, 37.3176794961687]; [127.068402887963, 37.3174615593465]"
2450072904,성복2로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.06788947235, 37.3179684230376]; [127.066872322013, 37.3185930878636]"
2450067404,성복2로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.072343997077, 37.3158827809153]; [127.072994079068, 37.3157501187857]; [127.07433752858, 37.3154005569199]"
2450067304,성복2로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.072377512198, 37.3159875496514]; [127.072157423241, 37.3160324618449]; [127.071722710681, 37.3161617096947]"
2450059105,성복1로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.075328316256, 37.3116832764555]; [127.075651063654, 37.3114335179656]; [127.075793187357, 37.3113474586645]"
2450059005,성복1로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.075430428043, 37.3117669673196]; [127.074970458962, 37.3121272529211]"
2450043503,성복2로,40,시·군도,일반도로,모두통행가능,0,0,,"[127.060318173111, 37.3194368181662]; [127.060006259769, 37.3193848313819]"
2450043603,성복2로,40,시·군도,일반도로,모두통행가능,0,0,,"[127.0603446182, 37.3193307717759]; [127.060406707634, 37.3193390512305]; [127.061330784996, 37.319483741417]; [127.061339402344, 37.3194852309153]"
2450059106,성복1로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.074447772339, 37.3126762533826]; [127.07452185921, 37.3124429337172]; [127.074705763663, 37.3121650324034]; [127.074865615122, 37.3120413338913]"
2450059006,성복1로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.074585942759, 37.3126988532301]; [127.074537693136, 37.3129927196998]; [127.074580167558, 37.3132093124393]; [127.074615853168, 37.313463708623]"
2450060704,수지로113번길,50,시·군도,일반도로,모두통행가능,0,0,,"[127.078319953812, 37.3127247510969]; [127.078291508784, 37.3127330062801]; [127.078245574516, 37.3127528062585]; [127.078194243004, 37.3127841430272]; [127.077522580522, 37.3132913429317]; [127.077514144571, 37.3132991543071]"
2450060804,수지로113번길,50,시·군도,일반도로,모두통행가능,0,0,,"[127.078273724307, 37.3126231276299]; [127.078338317181, 37.3126043814587]; [127.078417490997, 37.3125874382278]; [127.078510877472, 37.3125748203927]; [127.07871560771, 37.3125555428131]; [127.078765801607, 37.3124968094224]"
2450066900,성복2로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.075120797874, 37.3152349026449]; [127.075592611147, 37.3152566813543]; [127.075853482587, 37.3152812374239]"
2450066902,성복2로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.075853482587, 37.3152812374239]; [127.07635220433, 37.3153281809168]; [127.076719658973, 37.3153450310161]"
2450067003,성복2로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.075837639363, 37.3153886096337]; [127.075580766568, 37.3153644309773]; [127.07511298794, 37.31534284034]"
2450073006,성복2로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.066779014144, 37.3184941173849]; [127.06780993848, 37.3178839952273]"
2450078603,성복1로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.061443673594, 37.3209587626058]; [127.061442412994, 37.320963456155]; [127.061199679506, 37.3214300964429]; [127.061050555775, 37.321627153761]; [127.060900571822, 37.3217547868317]"
2450078702,성복1로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.061298620815, 37.3209342325452]; [127.061349450003, 37.3207412337442]"
2450067601,성복1로,50,시·군도,지하차도,모두통행가능,0,0,,"[127.068366247956, 37.3163927786886]; [127.068157280105, 37.3164615081382]; [127.067840414331, 37.316540114414]; [127.067637024142, 37.316565546291]; [127.067467587604, 37.3165822355551]; [127.067231020879, 37.3165533406812]; [127.066972337705, 37.3164882281772]; [127.06547999463, 37.315827688146]; [127.065333901149, 37.3157814818714]; [127.065120122989, 37.3157347414264]; [127.064795214041, 37.3156849064412]"
2450067501,성복1로,50,시·군도,지하차도,모두통행가능,0,0,,"[127.068315711875, 37.3162935703005]; [127.069528370803, 37.3158999537679]; [127.071907348639, 37.3151596963537]"
2450083302,도마치로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.061125362077, 37.3258162830351]; [127.061120179779, 37.3257862074023]; [127.061017867926, 37.3253934252947]; [127.060841885626, 37.3250270920468]; [127.059439208678, 37.3225920517036]"
2030328603,용인서울고속도로,100,고속국도,일반도로,이륜차,0,0,,"[127.053470355142, 37.311080608568]; [127.053463147219, 37.3111054712457]; [127.053404003649, 37.3113328515715]; [127.053347839, 37.311545933797]; [127.053284957128, 37.3118176232157]; [127.053234092256, 37.3120910056341]; [127.053198226387, 37.3123105606722]; [127.053149071528, 37.3126214865746]; [127.053109461273, 37.3128878736208]; [127.053073682472, 37.3131874007769]; [127.053056797391, 37.3133594338646]; [127.053041814819, 37.3135708773415]; [127.053021261353, 37.3140084442087]; [127.053015496059, 37.3143640940837]; [127.05301060885, 37.3146208000622]; [127.053010759543, 37.3148418255172]; [127.053023532706, 37.3150675802439]; [127.053036400318, 37.3153570074036]; [127.05305171305, 37.3156228768137]; [127.053094959241, 37.3160326342382]; [127.053097780893, 37.3160582470502]"
2450073602,성복1로164번길,50,시·군도,일반도로,모두통행가능,0,0,,"[127.065717024665, 37.3192978822753]; [127.065671681722, 37.3191447633092]"
2450058700,성복2로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.082038917318, 37.3115204826235]; [127.08251297459, 37.3110800529323]"
2450064400,성복2로76번길,30,시·군도,일반도로,모두통행가능,0,0,,"[127.080118851179, 37.3152319224044]; [127.079867925029, 37.3148508346925]"
2450078700,성복1로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.059480512045, 37.3224887730666]; [127.060152578925, 37.3221606856182]; [127.060619275471, 37.3218309855699]; [127.060788070732, 37.3216762077769]"
2450069200,성복1로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.063559493491, 37.3159941158998]; [127.064022921155, 37.3157575740429]; [127.064362906479, 37.3156341065206]; [127.064789869355, 37.3155744350485]"
2450072902,성복2로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.065817920454, 37.3192406096669]; [127.065717024665, 37.3192978822753]"
2450067600,성복1로,50,시·군도,지하차도,모두통행가능,0,0,,"[127.071952441614, 37.3152511489367]; [127.069709197797, 37.3159510711721]; [127.068366247956, 37.3163927786886]"
2450076400,성복2로,30,시·군도,일반도로,모두통행가능,0,0,,"[127.063391624804, 37.3202205378861]; [127.062707297071, 37.3199552417344]; [127.061735525027, 37.3196904059765]"
2450067500,성복1로,50,시·군도,지하차도,모두통행가능,0,0,,"[127.064789869355, 37.3155744350485]; [127.065176727826, 37.3156404350627]; [127.065570221954, 37.3157516683954]; [127.067051403441, 37.3164031086739]; [127.067298917584, 37.31645912241]; [127.06762606597, 37.316461696673]; [127.068010507888, 37.3163926337476]; [127.068315711875, 37.3162935703005]"
2450076600,성복1로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.061349450003, 37.3207412337442]; [127.061635477954, 37.3196470339764]"
2450068900,성복1로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.064789869355, 37.3155744350485]; [127.065170014453, 37.3155556325256]; [127.065196180054, 37.315562548328]; [127.065467037153, 37.3156341378685]; [127.065752218681, 37.315764661239]; [127.067203047779, 37.3163674065797]; [127.067423889709, 37.3164112433078]; [127.067633280533, 37.3164128908302]"
2450042100,-,60,시·군도,일반도로,모두통행가능,0,0,도로명없음,"[127.08194873903, 37.3116042632593]; [127.081426981376, 37.311059984744]; [127.081266072081, 37.310899076835]; [127.081236962466, 37.3107438205957]; [127.081264215143, 37.310580316327]; [127.081321866236, 37.310455414021]; [127.081803643442, 37.3100654200839]"
2450060800,수지로113번길,50,시·군도,일반도로,모두통행가능,0,0,,"[127.076648808661, 37.3149634353191]; [127.076541579075, 37.3143858056728]; [127.076461236247, 37.3142020249932]; [127.076535860124, 37.3140369622312]; [127.077165166434, 37.3134566189338]"
2450072700,성복1로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.062248469143, 37.3169239668453]; [127.062156209075, 37.3170854328688]; [127.062119460366, 37.3173194236413]; [127.061762485253, 37.3195519061716]"
2450065100,성복2로76번길,30,시·군도,일반도로,모두통행가능,0,0,,"[127.079867925029, 37.3148508346925]; [127.078226767066, 37.3154919305221]; [127.077990673622, 37.315540712463]; [127.077856082393, 37.3155432934719]"
2450060700,수지로113번길,50,시·군도,일반도로,모두통행가능,0,0,,"[127.078873522433, 37.3125625466328]; [127.078792665882, 37.3126571597625]; [127.078530103063, 37.312681882975]; [127.078379025176, 37.3127076076539]; [127.078319953812, 37.3127247510969]"
2450066600,성복2로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.074960620812, 37.3152386378271]; [127.075200704438, 37.3149154625285]; [127.075724329434, 37.3149348693769]; [127.076285985302, 37.3149615874202]; [127.076648808661, 37.3149634353191]"
2450132301,성복1로,50,시·군도,일반도로,모두통행가능,0,0,,"[127.055471606951, 37.3246942887234]; [127.056071799345, 37.3243593323132]"
2450065200,성복2로76번길,30,시·군도,일반도로,모두통행가능,0,0,,"[127.077825127853, 37.3154357267318]; [127.077971829721, 37.315432899933]; [127.078179610747, 37.3153899934587]; [127.079808450967, 37.314753712002]"
2450087200,성복1로,60,시·군도,일반도로,모두통행가능,0,0,,"[127.057273323857, 37.3238594730403]; [127.056127224641, 37.3244596027378]"
2450087300,성복1로,60,시·군도,일반도로,모두통행가능,0,0,,"[127.056071799345, 37.3243593323132]; [127.057208611046, 37.3237640652782]"
2450041500,-,60,시·군도,일반도로,모두통행가능,0,0,도로명없음,"[127.079477427956, 37.3139165214843]; [127.07934106301, 37.3138514821122]; [127.0791690337, 37.3138132529081]; [127.078863497626, 37.3137969562763]"
